Name,Area (sqmm)
A.H.U #1,24.9
A.H.U #2,
CHW,1.36
CO-FA #1,1.18
CO-FA #2,0.92
CO-RA #1,1.18
CO-RA #2,0.92
ELEC,4.54
ELV,0.95
F LIFT,6.14
F LOBBY,18.84
F.TOILET,9.08
FHC #1,1.47
FHC #2,0.91
H.TOILET,4.15
LIFT B1,6.03
LIFT B2,6.04
LIFT B3,6.03
LIFT B4,6.04
LIFT B5,6.03
LIFT FOR OBSERVATORY #1,6.03
LIFT FOR OBSERVATORY #2,6.03
LOBBY-1,59.64
LOBBY-2,1.24
LOBBY-3,15.61
LOBBY-4,7.2
LOBBY. PRESSURIZATION,2.5
LOBBY. PRESSURIZATION SHAFT #1,1.78
LOBBY. PRESSURIZATION SHAFT #2,1.6
M.TOILET,11.98
OFFICE,1203.62
PANTRY,4.12
PASSAGE #1,4.45
PASSAGE #2,5.27
PLUMBING SHAFT,1.63
RWS,1.4
S LIFT - 1,6.13
S LIFT - 2,6.12
STAIRCASE-1,28.34
STAIRCASE-2,20.93
STR. PRESSURIZATION SHAFT #1,2.65
STR. PRESSURIZATION SHAFT #2,1.48
TOILET/PANTRY EXE,1.81
