Name,Area (sqmm)
A.H.U #1,15.45
A.H.U #2,15.43
CHW,1.36
CO-FA #1,1.18
CO-FA #2,0.92
CO-RA #1,1.18
CO-RA #2,0.92
ELEC,4.54
ELV,0.95
F LIFT,6.14
F LOBBY,6.86
F.TOILET,9.08
FHC #1,1.47
FHC #2,0.91
H.TOILET,4.15
LIFT B1,6.03
LIFT B2,6.04
LIFT B3,6.03
LIFT B4,6.04
LIFT B5,6.03
LIFT FOR OBSERVATORY #1,6.03
LIFT FOR OBSERVATORY #2,6.03
LOBBY-1,88.48
LOBBY-2,1.24
LOBBY-3,16.52
LOBBY-4,16.18
LOBBY. PRESSURIZATION,2.5
LOBBY. PRESSURIZATION SHAFT #1,1.78
LOBBY. PRESSURIZATION SHAFT #2,1.6
M.TOILET,11.98
OFFICE,1175.25
PANTRY,4.12
PASSAGE #1,4.45
PASSAGE #2,5.27
PLUMBING SHAFT,1.63
RWS,1.4
S LIFT - 1,6.13
S LIFT - 2,6.12
STAIRCASE-1,31.11
STAIRCASE-2,20.93
STR. PRESSURIZATION SHAFT #1,2.65
STR. PRESSURIZATION SHAFT #2,1.48
TOILET/PANTRY EXE,1.81
