predicted_name,expected_name,predicted_area,expected_area,Name_Matched,Area_Matched
A.H.U #1,A.H.U #1,15.45,15.3,True,True
A.H.U #2,A.H.U #2,15.43,15.3,True,True
CHW,CHW,1.36,1.3,True,True
CO-FA #1,CO-FA #1,1.18,1.1,True,False
CO-FA #2,CO-FA #2,0.92,0.9,True,True
CO-RA #1,CO-RA #1,1.18,1.1,True,False
CO-RA #2,CO-RA #2,0.92,0.9,True,True
ELEC,ELEC,4.54,4.5,True,True
ELV,ELV,0.95,0.95,True,True
F LIFT,F LIFT,6.14,6.0,True,True
F LOBBY,F LOBBY,6.86,5.3,True,False
F.TOILET,F.TOILET,9.08,8.9,True,True
FHC #1,FHC #1,1.47,1.4,True,False
FHC #2,FHC #2,0.91,0.89,True,True
H.TOILET,H.TOILET,4.15,4.1,True,True
LIFT B1,LIFT B1,6.03,6.0,True,True
LIFT B2,LIFT B2,6.04,6.0,True,True
LIFT B3,LIFT B3,6.03,6.0,True,True
LIFT B4,LIFT B4,6.04,6.0,True,True
LIFT B5,LIFT B5,6.03,6.0,True,True
LOBBY-1,LOBBY-1,88.48,87.1,True,True
LOBBY-2,LOBBY-2,1.24,1.4,True,False
LOBBY-3,LOBBY-3,16.52,16.4,True,True
LOBBY-4,LOBBY-4,16.18,15.7,True,True
,LOBBY. PRESSURIZATION SHATFT #3,,1.7,False,False
LOBBY. PRESSURIZATION SHAFT #2,LOBBY. PRESSURIZATION SHAFT #1,1.6,1.5,True,False
LOBBY. PRESSURIZATION SHAFT #1,LOBBY. PRESSURIZATION SHAFT #2,1.78,2.5,True,False
M.TOILET,M.TOILET,11.98,11.7,True,True
LIFT FOR OBSERVATORY #1, LIFT FOR OBSERVATORY #1,6.03,6.0,True,True
LIFT FOR OBSERVATORY #2,LIFT FOR OBSERVATORY #2,6.03,6.0,True,True
PANTRY,PANTRY,4.12,4.1,True,True
PASSAGE #2,PASSAGE #1,5.27,5.2,True,True
PASSAGE #1,PASSAGE #2,4.45,4.4,True,True
PLUMBING SHAFT,PLUMBING SHAFT,1.63,1.6,True,True
RWS,RWS,1.4,1.4,True,True
S LIFT - 1,S LIFT - 1,6.13,6.0,True,True
S LIFT - 2,S LIFT - 2,6.12,6.0,True,True
STAIRCASE-1,STAIRCASE-1,31.11,32.1,True,True
STAIRCASE-2,STAIRCASE-2,20.93,33.7,True,False
STR. PRESSURIZATION SHAFT #2,STR. PRESSURIZATION SHAFT #1,1.48,1.4,True,False
STR. PRESSURIZATION SHAFT #1,STR. PRESSURIZATION SHAFT #2,2.65,2.6,True,True
TOILET/PANTRY EXE,TOILET/PANTRY EXE,1.81,1.7,True,False
OFFICE,OFFICE,1175.25,1166.9,True,True
